source_term,canonical_term,status,category,language,priority,difficulty,expert_review,canonical_slug,merge_target,synonyms,notes
Хостинг,Хостинг,KEEP,security and infrastructure,RU,MEDIUM,MODERATE,NO,хостинг,,веб-хостинг,Default KEEP pending pilot-standard drafting.
Хостинг-провайдер,Хостинг-провайдер,KEEP,security and infrastructure,RU,MEDIUM,MODERATE,NO,хостинг-провайдер,,хостер,Default KEEP pending pilot-standard drafting.
Целевая аудитория,Целевая аудитория,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,целевая-аудитория,,ЦА,Default KEEP pending pilot-standard drafting.
Целевой поисковый запрос,Целевой поисковый запрос,KEEP,content and semantics,RU,MEDIUM,MODERATE,NO,целевой-поисковый-запрос,,целевой запрос,Default KEEP pending pilot-standard drafting.
Частотность запроса,Частотность запроса,KEEP,content and semantics,RU,MEDIUM,MODERATE,NO,частотность-запроса,,частота запроса,Default KEEP pending pilot-standard drafting.
Чёрные методы оптимизации,Чёрные методы оптимизации,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,черные-методы-оптимизации,,"black hat SEO, серая оптимизация",Neutral risk-focused definition.
ЧПУ (человекопонятный URL),ЧПУ,RENAME,technical SEO,RU,MEDIUM,SIMPLE,NO,чпу,,SEO-friendly URL,Expand in short definition; keep ЧПУ as title.
Шингл,Шингл,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,шингл,,shingles,Default KEEP pending pilot-standard drafting.
Экспертность контента,Экспертность контента,KEEP,content and semantics,RU,MEDIUM,MODERATE,NO,экспертность-контента,,авторитетность автора,Default KEEP pending pilot-standard drafting.
Яндекс.Вебмастер,Яндекс.Вебмастер,KEEP,search engines and indexing,RU,HIGH,SIMPLE,NO,яндекс.вебмастер,,сервис для вебмастеров Яндекса,"Product name — define as tool/platform, not generic concept abuse."
Яндекс Директ,Яндекс Директ,KEEP,contextual advertising,RU,HIGH,SIMPLE,NO,яндекс-директ,,Директ,"Product name — define as tool/platform, not generic concept abuse."
Яндекс Каталог (YACA),,EXCLUDE,search engines and indexing,MIXED,LOW,SIMPLE,NO,,,YACA,Historical/obsolete Yandex product; exclude or archive note only.
Яндекс.Метрика,Яндекс.Метрика,KEEP,analytics and metrics,RU,HIGH,SIMPLE,NO,яндекс.метрика,,счётчик посещаемости,"Product name — define as tool/platform, not generic concept abuse."
Alt-атрибут,Alt-текст,RENAME,technical SEO,MIXED,MEDIUM,SIMPLE,NO,alt-текст,,alt-текст,Prefer alt-текст as user-facing concept.
AMP (ускоренные мобильные страницы),AMP,RENAME,technical SEO,EN,LOW,MODERATE,YES,amp,,ускоренные страницы,Declining relevance — expert decide KEEP vs EXCLUDE.
BERT,BERT,KEEP,content and semantics,EN,MEDIUM,EXPERT,NO,bert,,алгоритм BERT,Default KEEP pending pilot-standard drafting.
BM25 (Okapi BM25),BM25,RENAME,search engines and indexing,EN,LOW,EXPERT,YES,bm25,,Okapi BM25,IR ranking function; expert decide audience fit.
CatBoost,CatBoost,KEEP,SEO fundamentals,EN,MEDIUM,MODERATE,NO,catboost,,алгоритм CatBoost,Default KEEP pending pilot-standard drafting.
CLS,Core Web Vitals,MERGE,technical SEO,EN,MEDIUM,MODERATE,NO,core-web-vitals,Core Web Vitals,смещение вёрстки,CWV sub-metric; define on Core Web Vitals page.
CMS (система управления сайтом),CMS,RENAME,website development,EN,MEDIUM,SIMPLE,NO,cms,,система управления контентом,Expand in definition.
Cookie,,EXCLUDE,website development,EN,LOW,SIMPLE,NO,,,куки,General web/privacy concept; not core SEO glossary unless analytics angle insisted.
Core Web Vitals,Core Web Vitals,KEEP,technical SEO,EN,HIGH,MODERATE,NO,core-web-vitals,,базовые веб-показатели,Canonical home for LCP/INP/CLS; FID historical.
CPA,CPA,KEEP,analytics and metrics,EN,MEDIUM,MODERATE,NO,cpa,,цена за действие,Default KEEP pending pilot-standard drafting.
CPC,CPC,KEEP,analytics and metrics,EN,MEDIUM,MODERATE,NO,cpc,,цена за клик,Default KEEP pending pilot-standard drafting.
CPL,CPL,KEEP,analytics and metrics,EN,MEDIUM,MODERATE,NO,cpl,,цена за лид,Default KEEP pending pilot-standard drafting.
CTR (кликабельность),CTR,RENAME,analytics and metrics,EN,HIGH,SIMPLE,NO,ctr,,кликабельность,Keep abbreviation; RU кликабельность as synonym.
d-url-rewriter.php (seo-модуль),,EXCLUDE,other / review,MIXED,LOW,SIMPLE,NO,,,SEO-модуль перезаписи URL,"Product/module filename, not a general glossary concept."
DA (Domain Authority),Domain Authority,RENAME,link building,EN,MEDIUM,MODERATE,YES,domain-authority,,авторитетность домена,Moz proprietary metric — disclose vendor nature.
Disavow,Disavow,KEEP,link building,EN,MEDIUM,MODERATE,NO,disavow,,отклонение ссылок,Default KEEP pending pilot-standard drafting.
DR (Domain Rating),Domain Rating,RENAME,link building,EN,MEDIUM,MODERATE,YES,domain-rating,,рейтинг домена,Ahrefs proprietary metric — disclose vendor nature.
E-E-A-T,E-E-A-T,KEEP,SEO fundamentals,EN,HIGH,EXPERT,YES,e-e-a-t,,E-A-T,Google quality rater concept — not a direct ranking factor claim.
Event tracking,Event tracking,KEEP,analytics and metrics,EN,MEDIUM,MODERATE,NO,event-tracking,,трекинг событий,Default KEEP pending pilot-standard drafting.
FAQ-разметка,FAQ-разметка,RENAME,technical SEO,MIXED,MEDIUM,MODERATE,YES,faq-разметка,,разметка вопрос-ответ,Structured data subtype; Google FAQ rich-result policy changes — expert verify.
FID,Core Web Vitals,MERGE,technical SEO,EN,LOW,MODERATE,NO,core-web-vitals,Core Web Vitals,задержка отклика,Deprecated CWV metric (replaced by INP); cover historically under Core Web Vitals.
Flash/Флэш,,EXCLUDE,website development,MIXED,LOW,SIMPLE,NO,,,Adobe Flash,Obsolete web technology; not useful for current i-seo.su glossary.
GEO,GEO,KEEP,AI search and GEO,EN,HIGH,EXPERT,YES,geo,,generative engine optimization,Generative Engine Optimization — emerging; distinguish from geo-targeting.
GET-параметр (CGI-параметр),GET-параметр,RENAME,technical SEO,MIXED,MEDIUM,MODERATE,NO,get-параметр,,URL-параметр,CGI outdated framing; focus on query parameters.
Google Ads,Google Ads,KEEP,contextual advertising,EN,HIGH,SIMPLE,NO,google-ads,,Google AdWords,"Product name — define as tool/platform, not generic concept abuse."
Google AdSense,Google AdSense,KEEP,contextual advertising,EN,MEDIUM,MODERATE,NO,google-adsense,,AdSense,Default KEEP pending pilot-standard drafting.
Google Analytics,Google Analytics,KEEP,analytics and metrics,EN,HIGH,SIMPLE,NO,google-analytics,,GA,"Product name — define as tool/platform, not generic concept abuse."
Google Search Console,Google Search Console,KEEP,search engines and indexing,EN,HIGH,SIMPLE,NO,google-search-console,,GSC,"Product name — define as tool/platform, not generic concept abuse."
HTML,,EXCLUDE,website development,EN,LOW,SIMPLE,NO,,,Hyper Text Markup Language,General web tech; out of SEO glossary scope unless Nikita wants fundamentals layer.
HTTP-код ответа,HTTP-код ответа,KEEP,technical SEO,MIXED,MEDIUM,MODERATE,NO,http-код-ответа,,код ответа сервера,Default KEEP pending pilot-standard drafting.
HTTPS,HTTPS,KEEP,technical SEO,EN,MEDIUM,MODERATE,NO,https,,защищённый протокол,Default KEEP pending pilot-standard drafting.
Human-First Content,Human-First Content,REVIEW,content and semantics,EN,MEDIUM,MODERATE,YES,human-first-content,,"контент, ориентированный на человека",Marketing/SEO framing term — align with Google helpful content guidance; avoid slogan tone.
IP-адрес,,EXCLUDE,security and infrastructure,MIXED,LOW,SIMPLE,NO,,,IP,Too generic for SEO glossary.
JS / JavaScript,,EXCLUDE,website development,EN,LOW,MODERATE,NO,,,джаваскрипт,General web tech; JS SEO nuances can live under technical SEO terms.
KPI (ключевые показатели эффективности),KPI,RENAME,analytics and metrics,EN,MEDIUM,SIMPLE,NO,kpi,,ключевые показатели,Expand in definition.
LCP,Core Web Vitals,MERGE,technical SEO,EN,MEDIUM,MODERATE,NO,core-web-vitals,Core Web Vitals,время отрисовки крупного элемента,CWV sub-metric; define on Core Web Vitals page.
LSI,LSI,KEEP,content and semantics,EN,HIGH,MODERATE,NO,lsi,,latent semantic indexing,Default KEEP pending pilot-standard drafting.
LTV,LTV,KEEP,analytics and metrics,EN,MEDIUM,MODERATE,NO,ltv,,пожизненная ценность клиента,Default KEEP pending pilot-standard drafting.
MFA,MFA,REVIEW,SEO fundamentals,EN,LOW,MODERATE,YES,mfa,,сайты под рекламу,Made-for-Advertising sites — confirm acronym usage for RU audience.
Mixed content,Mixed content,KEEP,technical SEO,EN,MEDIUM,MODERATE,NO,mixed-content,,смешанный контент,Default KEEP pending pilot-standard drafting.
Mobile-first indexing,Mobile-first indexing,KEEP,technical SEO,EN,MEDIUM,MODERATE,NO,mobile-first-indexing,,мобильная индексация,Default KEEP pending pilot-standard drafting.
Neural Matching,Neural Matching,KEEP,AI search and GEO,EN,MEDIUM,EXPERT,NO,neural-matching,,нейронное сопоставление,Default KEEP pending pilot-standard drafting.
Noindex,Noindex,KEEP,technical SEO,EN,MEDIUM,MODERATE,NO,noindex,,тег noindex,Default KEEP pending pilot-standard drafting.
Pay-per-Click (PPC),PPC,RENAME,contextual advertising,EN,HIGH,SIMPLE,NO,ppc,,оплата за переход,Prefer PPC; pay-per-click as full form in text.
PBN,PBN,KEEP,link building,EN,MEDIUM,MODERATE,YES,pbn,,private blog network,Risky/black-hat adjacent — define neutrally with risk warning.
PR (PageRank),PageRank,RENAME,link building,EN,LOW,MODERATE,YES,pagerank,,пейджранк,Ambiguous PR acronym (PR vs PageRank); use PageRank.
RankBrain,RankBrain,KEEP,AI search and GEO,EN,MEDIUM,EXPERT,NO,rankbrain,,алгоритм RankBrain,Default KEEP pending pilot-standard drafting.
ROI (окупаемость инвестиций),ROI,RENAME,analytics and metrics,EN,MEDIUM,SIMPLE,NO,roi,,окупаемость вложений,Expand in definition; distinguish ROMI.
ROMI,ROMI,KEEP,analytics and metrics,EN,MEDIUM,MODERATE,NO,romi,,рентабельность маркетинга,Default KEEP pending pilot-standard drafting.
Sandbox,Google Sandbox,REVIEW,SEO fundamentals,EN,LOW,MODERATE,YES,google-sandbox,,эффект песочницы,Often mythical/overstated; expert decide KEEP with myth-busting or EXCLUDE.
SEO,SEO,KEEP,SEO fundamentals,EN,HIGH,SIMPLE,NO,seo,,search engine optimization,Foundational term.
SERM,SERM,KEEP,digital marketing,EN,MEDIUM,MODERATE,YES,serm,,search engine reputation management,Reputation management — confirm i-seo.su service relevance.
Spam Score,Spam Score,REVIEW,link building,EN,LOW,MODERATE,YES,spam-score,,показатель спамности,Moz proprietary metric — disclose or EXCLUDE.
Spam Update,Spam Update,KEEP,search engines and indexing,EN,MEDIUM,MODERATE,NO,spam-update,,антиспам-апдейт,Default KEEP pending pilot-standard drafting.
SSL,HTTPS,MERGE,security and infrastructure,EN,MEDIUM,SIMPLE,NO,https,HTTPS,сертификат безопасности,Protocol layer behind HTTPS; synonym/related under HTTPS.
TF-IDF,TF-IDF,KEEP,content and semantics,EN,MEDIUM,MODERATE,NO,tf-idf,,term frequency-inverse document frequency,Default KEEP pending pilot-standard drafting.
URL-адрес,URL,REVIEW,technical SEO,MIXED,LOW,SIMPLE,YES,url,,"URL, веб-адрес",Very basic; KEEP short or EXCLUDE.
UTM-метки,UTM-метки,KEEP,analytics and metrics,MIXED,MEDIUM,MODERATE,NO,utm-метки,,UTM-параметры,Default KEEP pending pilot-standard drafting.
UX/UI (юзабилити и интерфейс),UX и UI,RENAME,UX and conversion,MIXED,HIGH,MODERATE,NO,ux-и-ui,,юзабилити,Clearer Russian title; distinguish UX vs UI in body.
Wayback Machine,Wayback Machine,KEEP,SEO fundamentals,EN,MEDIUM,MODERATE,NO,wayback-machine,,веб-архив,Default KEEP pending pilot-standard drafting.
WHOIS,WHOIS,KEEP,security and infrastructure,EN,MEDIUM,MODERATE,NO,whois,,whois-сервис,Default KEEP pending pilot-standard drafting.
404 ошибка,Ошибка 404,RENAME,technical SEO,RU,HIGH,SIMPLE,NO,ошибка-404,,page not found,Natural Russian order.
410 ошибка,Ошибка 410,RENAME,technical SEO,RU,MEDIUM,SIMPLE,NO,ошибка-410,,gone,Natural Russian order; distinguish from 404.
500 ошибка,Ошибка 500,RENAME,technical SEO,RU,MEDIUM,SIMPLE,NO,ошибка-500,,internal server error,Natural Russian order.
Юзабилити,UX/UI (юзабилити и интерфейс),MERGE,UX and conversion,RU,MEDIUM,SIMPLE,NO,ux-ui-юзабилити-и-интерфейс,UX/UI (юзабилити и интерфейс),usability,Duplicate of UX concept; merge into UX/UI.
