source_term,canonical_term,final_disposition,category,priority,difficulty,expert_review_original,verification_status,canonical_slug,merge_target,synonyms,source_keywords,source_lsi,editorial_notes,batch_candidate
Поисковая выдача (SERP),Поисковая выдача,APPROVED_RENAME,search engines and indexing,HIGH,SIMPLE,NO,standard,поисковая-выдача,,SERP,"поисковая выдача, SERP","результаты поиска, топ выдачи, сниппет",SERP as synonym.,YES
Поисковая контекстная реклама,Поисковая контекстная реклама,APPROVED,contextual advertising,MEDIUM,MODERATE,NO,standard,поисковая-контекстная-реклама,,контекстная реклама в поиске,контекстная реклама,"реклама по запросу, Яндекс.Директ, Google Ads",Default KEEP pending pilot-standard drafting.,NO
Поисковая оптимизация,SEO,MERGED,SEO fundamentals,LOW,SIMPLE,NO,not_required,,SEO,SEO-оптимизация,поисковая оптимизация сайта,"работа с алгоритмами поиска, повышение позиций, органический рост",Russian name for SEO; merge into SEO page as synonym.,NO
Поисковый запрос,Поисковый запрос,APPROVED,content and semantics,MEDIUM,MODERATE,NO,standard,поисковый-запрос,,запрос пользователя,поисковый запрос пользователя,"формулировка в строке поиска, ключевая фраза, намерение пользователя",Default KEEP pending pilot-standard drafting.,NO
Поисковый спам,Поисковый спам,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,поисковый-спам,,спам в выдаче,поисковый спам,"обман поисковых систем, приёмы только для роботов, санкции за спам",Default KEEP pending pilot-standard drafting.,NO
Посетитель,Посетитель,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,посетитель,,пользователь сайта,посетитель сайта,"пользователь, зашедший на сайт, аудитория ресурса, статистика визитов",Default KEEP pending pilot-standard drafting.,NO
Пост-фильтры,Пост-фильтры,APPROVED,search engines and indexing,MEDIUM,MODERATE,NO,standard,пост-фильтры,,постфильтрация,пост-фильтры,"понижение позиций после проверки, санкции, применяемые после ранжирования, ручная модерация выдачи",Default KEEP pending pilot-standard drafting.,NO
ПРЕСЕО,ПРЕСЕО,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,пресео,,предварительный SEO-этап,"pre-SEO, ПРЕСЕО","подготовка сайта до продвижения, аудит перед запуском, стратегия перед оптимизацией",Default KEEP pending pilot-standard drafting.,NO
Продвижение сайта,SEO,MERGED,SEO fundamentals,LOW,SIMPLE,NO,not_required,,SEO,раскрутка сайта,продвижение сайта,"SEO-продвижение, вывод в топ, комплексная оптимизация",Broader marketing phrase; treat as synonym of SEO for glossary purposes.,NO
Процент вхождений,Процент вхождений,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,процент-вхождений,,доля вхождений,процент вхождений ключевого слова,"доля упоминаний запроса в тексте, соотношение к объёму текста, показатель для анализа",Default KEEP pending pilot-standard drafting.,NO
Прямые заходы,Прямые заходы,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,прямые-заходы,,direct traffic,"прямые заходы, direct traffic","переход по закладке, ввод адреса вручную, брендовая узнаваемость",Default KEEP pending pilot-standard drafting.,NO
Разбавленное вхождение,Разбавленное вхождение,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,разбавленное-вхождение,,неточное вхождение,разбавленное вхождение ключевого слова,"слова между частями запроса, естественность формулировки, читаемость текста",Default KEEP pending pilot-standard drafting.,NO
Ранжирование,Ранжирование,APPROVED,SEO fundamentals,HIGH,MODERATE,NO,standard,ранжирование,,рейтингование,ранжирование сайтов,"алгоритм поисковика, факторы ранжирования, место в выдаче",Default KEEP pending pilot-standard drafting.,NO
Редирект,Редирект,APPROVED,technical SEO,MEDIUM,MODERATE,NO,standard,редирект,,redirect,редирект,"перенаправление пользователя, смена адреса страницы, программное перенаправление",Default KEEP pending pilot-standard drafting.,YES
Редирект 301,Редирект,MERGED,technical SEO,MEDIUM,MODERATE,NO,not_required,,Редирект,permanent redirect,"редирект 301, постоянное перенаправление","смена URL, передача веса страницы, склейка страниц",Subtype of redirect; document 301/302 on parent page.,NO
Редирект 302,Редирект,MERGED,technical SEO,MEDIUM,MODERATE,NO,not_required,,Редирект,temporary redirect,"редирект 302, временное перенаправление","временная смена адреса, тестирование страницы",Subtype of redirect; document on parent page.,NO
Релевантность страницы,Релевантность страницы,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,релевантность-страницы,,соответствие контента запросу,релевантность страницы,"соответствие запросу, качество ответа, ранжирующий фактор",Default KEEP pending pilot-standard drafting.,NO
Реферальный трафик,Реферальный трафик,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,реферальный-трафик,,referral traffic,реферальный трафик,"переходы с других сайтов, внешние ссылки, партнёрские сайты",Default KEEP pending pilot-standard drafting.,NO
Рунет,Рунет,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,рунет,,русский интернет,Рунет,"русскоязычный сегмент интернета, домены .ru, сайты на русском языке",Default KEEP pending pilot-standard drafting.,NO
Сателлит,Сателлит,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,сателлит,,сайт-спутник,сайт-сателлит,"вспомогательный сайт для продвижения основного, ссылочная поддержка, сеть сателлитов",Default KEEP pending pilot-standard drafting.,NO
СДЛ,СДЛ,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,сдл,,сайты для людей,"сайты для людей, СДЛ","полезный контент для пользователя, критерий качества Яндекса, противоположность SEO для роботов",Default KEEP pending pilot-standard drafting.,NO
Семантическое ядро,Семантическое ядро,APPROVED,content and semantics,HIGH,MODERATE,NO,standard,семантическое-ядро,,семантика сайта,семантическое ядро,"список ключевых запросов, сбор семантики, структура сайта",Default KEEP pending pilot-standard drafting.,YES
Сервер,Сервер,EXCLUDED,website development,LOW,SIMPLE,NO,not_required,,,веб-сервер,сервер,"хостинг сайта, постоянное подключение к интернету, серверное оборудование",Too basic for this glossary.,NO
Сквозная аналитика,Сквозная аналитика,APPROVED,analytics and metrics,MEDIUM,MODERATE,NO,standard,сквозная-аналитика,,end-to-end аналитика,сквозная аналитика,"объединение данных из разных каналов, оценка ROI по всей воронке, CRM и рекламные системы",Default KEEP pending pilot-standard drafting.,NO
Сквозные ссылки,Внутренняя перелинковка,MERGED,link building,LOW,MODERATE,NO,not_required,,Внутренняя перелинковка,footer-ссылки,сквозные ссылки,"ссылки в футере, ссылки в сайдбаре, шаблонные ссылки",Sitewide nav links; discuss under internal linking.,NO
Скорость загрузки страницы,Скорость загрузки страницы,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,скорость-загрузки-страницы,,page speed,скорость загрузки сайта,"Core Web Vitals, время отклика сервера, оптимизация изображений",Default KEEP pending pilot-standard drafting.,NO
Скрипт,Скрипт,DEFERRED,website development,LOW,SIMPLE,YES,not_required,,,script,скрипт,"программа на языке сценариев, серверная логика, JavaScript и php-скрипты",Too vague — may EXCLUDE. | Too vague for glossary concept.,NO
Сниппет,Сниппет,APPROVED,search engines and indexing,HIGH,SIMPLE,NO,standard,сниппет,,описание в выдаче,сниппет в выдаче,"заголовок и описание в результатах поиска, расширенный сниппет, привлекательность ссылки",Valid SERP concept; related to поисковая выдача.,YES
СНСС (ранее НПС),СНСС (ранее НПС),APPROVED,SEO fundamentals,MEDIUM,MODERATE,YES,needs_expert_pass,снсс-ранее-нпс,,НПС,"СНСС, наличие покупных ссылок","алгоритм выявления накрутки ссылочной массы, санкции за покупные ссылки, преемник фильтра НПС",Default KEEP pending pilot-standard drafting.,NO
Социальные сигналы,Социальные сигналы,APPROVED,digital marketing,MEDIUM,MODERATE,NO,standard,социальные-сигналы,,соцсигналы,социальные сигналы,"лайки и репосты, активность в соцсетях, влияние на ранжирование",Default KEEP pending pilot-standard drafting.,NO
СПЕКТР,СПЕКТР,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,спектр,,алгоритм разнообразия выдачи,алгоритм СПЕКТР,"разнообразие выдачи по интентам, показ разных типов ответов на запрос, алгоритм Яндекса",Default KEEP pending pilot-standard drafting.,NO
Ссылка,Ссылка,DEFERRED,link building,MEDIUM,SIMPLE,YES,not_required,,,гиперссылка,"гиперссылка, ссылка на сайте","переход между страницами, элемент навигации, вес ссылки",Very broad foundational term — KEEP short or EXCLUDE in favor of specific link terms. | Too broad; covered by specific link terms.,NO
Ссылочная масса,Ссылочная масса,APPROVED,link building,MEDIUM,MODERATE,NO,standard,ссылочная-масса,,ссылочный вес,ссылочная масса,"количество и качество ссылок, вес сайта, ссылочный профиль",Default KEEP pending pilot-standard drafting.,NO
Ссылочный агрегатор,Биржа ссылок,MERGED,link building,LOW,MODERATE,NO,not_required,,Биржа ссылок,агрегатор бэклинков,ссылочный агрегатор,"сервис сбора ссылочной массы конкурентов, база бэклинков, инструмент анализа ссылок",Related link-marketplace tooling; fold under биржа ссылок.,NO
Ссылочный взрыв,Ссылочный спам,MERGED,link building,LOW,MODERATE,YES,not_required,,Ссылочный спам,линкующий взрыв,ссылочный взрыв,"резкий прирост ссылочной массы, риск санкций за неестественный рост, подозрительная динамика ссылок",Jargon variant of unnatural link growth / spam pattern.,NO
Ссылочный граф,Ссылочный профиль,MERGED,link building,LOW,EXPERT,YES,not_required,,Ссылочный профиль,граф ссылок,ссылочный граф,"карта связей между сайтами, визуализация ссылочной массы, анализ ссылочного окружения",Technical graph concept; cover under profile / backlink analysis.,NO
Ссылочный профиль,Ссылочный профиль,APPROVED,link building,MEDIUM,MODERATE,NO,standard,ссылочный-профиль,,профиль ссылок,ссылочный профиль,"анализ бэклинков, естественность ссылок, доноры сайта",Default KEEP pending pilot-standard drafting.,YES
Ссылочный спам,Ссылочный спам,APPROVED,link building,MEDIUM,MODERATE,NO,standard,ссылочный-спам,,спам-ссылки,ссылочный спам,"некачественные ссылки, санкции за спам, дисавуал",Default KEEP pending pilot-standard drafting.,NO
Структура сайта,Структура сайта,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,структура-сайта,,архитектура сайта,структура сайта,"иерархия разделов, логика навигации, вложенность страниц",Default KEEP pending pilot-standard drafting.,NO
Счетчик посещаемости,Счетчик посещаемости,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,счетчик-посещаемости,,счётчик статистики,счётчик посещаемости,"подсчёт уникальных посетителей, статистика просмотров страниц, веб-аналитика",Default KEEP pending pilot-standard drafting.,NO
Тег description,Метатеги,MERGED,technical SEO,MEDIUM,SIMPLE,NO,not_required,,Метатеги,мета-описание,мета-тег description,"описание страницы в сниппете, привлекательность в выдаче, длина description",Specific meta tag; cover under Метатеги with H1/title distinctions.,NO
Тег title,Метатеги,MERGED,technical SEO,MEDIUM,SIMPLE,NO,not_required,,Метатеги,заголовок title,мета-тег title,"заголовок страницы в выдаче, ключевые слова в title, CTR сниппета",Document title element; fold under Метатеги cluster (note: title is not always called a meta tag — distinguish in parent definition).,NO
Текстовые факторы,Текстовые факторы,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,текстовые-факторы,,текстовое ранжирование,текстовые факторы ранжирования,"вхождение ключевых слов, качество и объём текста, релевантность контента запросу",Default KEEP pending pilot-standard drafting.,NO
Техническая оптимизация,Техническая оптимизация,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,техническая-оптимизация,,техническое SEO,техническая оптимизация сайта,"скорость загрузки, индексируемость, корректная структура кода",Default KEEP pending pilot-standard drafting.,YES
тИЦ,тИЦ,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,тиц,,тематический индекс цитирования,"тематический индекс цитирования, тИЦ","авторитетность сайта по ссылкам, показатель Яндекса (упразднён), качество ссылочного окружения",Default KEEP pending pilot-standard drafting.,NO
Топ-10 / Топ-3,Позиции сайта,MERGED,SEO fundamentals,LOW,SIMPLE,NO,not_required,,Позиции сайта,первая десятка выдачи,"топ-10, топ-3 выдачи","первая страница поиска, лидирующие позиции, конкуренция за топ",Colloquial ranking phrase; cover under позиции.,NO
Точное вхождение,Точное вхождение,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,точное-вхождение,,прямое вхождение,точное вхождение ключевого слова,"полное совпадение фразы, прямое соответствие запросу",Default KEEP pending pilot-standard drafting.,NO
Транзакционный интент,Транзакционный интент,APPROVED,content and semantics,MEDIUM,MODERATE,NO,standard,транзакционный-интент,,транзакционный запрос,транзакционный интент,"намерение совершить действие, заказ, оплата, готовность к покупке",Default KEEP pending pilot-standard drafting.,NO
Траст сайта,Траст сайта,APPROVED,SEO fundamentals,LOW,MODERATE,NO,standard,траст-сайта,,доверие домена,траст сайта,"доверие поисковика, возраст домена, качество ссылочной массы",Default KEEP pending pilot-standard drafting.,NO
Трафик,Сессия,MERGED,analytics and metrics,LOW,SIMPLE,NO,not_required,,Сессия,посещаемость,трафик сайта,"посетители сайта, источники переходов, объём аудитории",Overly broad; traffic types covered by organic/referral/branded terms.,NO
УВ,УВ,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,ув,,уникальные визиты,"уникальные посетители, УВ","подсчёт аудитории сайта, метрика охвата, количество новых визитов",Default KEEP pending pilot-standard drafting.,NO
Уникальность текста,Уникальность текста,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,уникальность-текста,,оригинальность текста,уникальность текста,"антиплагиат, проверка на копипаст, авторский контент",Default KEEP pending pilot-standard drafting.,NO
Уникальный посетитель,Уникальный посетитель,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,уникальный-посетитель,,unique visitor,уникальный посетитель,"первый визит с устройства, подсчёт аудитории, метрика охвата",Default KEEP pending pilot-standard drafting.,NO
Устранение дублей,Устранение дублей,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,устранение-дублей,,склейка дублей,устранение дублей страниц,"canonical, редирект, настройка robots.txt",Default KEEP pending pilot-standard drafting.,NO
Файл robots.txt,robots.txt,APPROVED_RENAME,technical SEO,HIGH,MODERATE,NO,standard,robots.txt,,файл индексных инструкций,robots.txt,"запрет индексации, инструкции для роботов, директива Disallow",Industry-standard title.,YES
Фактор ранжирования,Фактор ранжирования,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,фактор-ранжирования,,ранжирующий фактор,фактор ранжирования,"критерий оценки страницы, влияние на позиции, вес фактора",Default KEEP pending pilot-standard drafting.,NO
Фильтр поисковой системы,Фильтр поисковой системы,APPROVED,search engines and indexing,MEDIUM,MODERATE,NO,standard,фильтр-поисковой-системы,,санкции поисковика,"фильтр Google, фильтр Яндекса","санкции за нарушения, понижение в выдаче, ручные и алгоритмические санкции",Default KEEP pending pilot-standard drafting.,NO
Хлебные крошки,Хлебные крошки,APPROVED,technical SEO,MEDIUM,SIMPLE,NO,standard,хлебные-крошки,,breadcrumbs,хлебные крошки,"навигационная цепочка, breadcrumbs, структура URL",Valid UX/SEO navigation concept.,NO
Хостинг,Хостинг,APPROVED,security and infrastructure,MEDIUM,MODERATE,NO,standard,хостинг,,веб-хостинг,хостинг сайта,"скорость сервера, надёжность хостинга, влияние на SEO",Default KEEP pending pilot-standard drafting.,NO
Хостинг-провайдер,Хостинг-провайдер,APPROVED,security and infrastructure,MEDIUM,MODERATE,NO,standard,хостинг-провайдер,,хостер,хостинг-провайдер,"услуги размещения сайтов, аренда сервера, техническая поддержка хостинга",Default KEEP pending pilot-standard drafting.,NO
Целевая аудитория,Целевая аудитория,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,целевая-аудитория,,ЦА,целевая аудитория сайта,"портрет пользователя, сегментация аудитории, интересы посетителей",Default KEEP pending pilot-standard drafting.,NO
Целевой поисковый запрос,Целевой поисковый запрос,APPROVED,content and semantics,MEDIUM,MODERATE,NO,standard,целевой-поисковый-запрос,,целевой запрос,целевой поисковый запрос,"запрос из семантического ядра, приоритетное продвижение, соответствие тематике сайта",Default KEEP pending pilot-standard drafting.,NO
Частотность запроса,Частотность запроса,APPROVED,content and semantics,MEDIUM,MODERATE,NO,standard,частотность-запроса,,частота запроса,частотность запроса,"количество показов в месяц, высокочастотный запрос, низкочастотный запрос",Default KEEP pending pilot-standard drafting.,NO
Чёрные методы оптимизации,Чёрные методы оптимизации,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,черные-методы-оптимизации,,"black hat SEO, серая оптимизация","чёрные методы SEO, black hat","запрещённые приёмы продвижения, накрутка и спам, риск санкций поисковика",Neutral risk-focused definition.,NO
ЧПУ (человекопонятный URL),ЧПУ,APPROVED_RENAME,technical SEO,MEDIUM,SIMPLE,NO,standard,чпу,,SEO-friendly URL,"ЧПУ, человекопонятный URL","читаемый адрес страницы, ключевые слова в URL, структура ссылки",Expand in short definition; keep ЧПУ as title.,NO
Шингл,Шингл,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,шингл,,shingles,"шингл, метод шинглов","проверка уникальности текста, разбиение на пересекающиеся фрагменты, алгоритм Яндекса",Default KEEP pending pilot-standard drafting.,NO
Экспертность контента,Экспертность контента,APPROVED,content and semantics,MEDIUM,MODERATE,NO,standard,экспертность-контента,,авторитетность автора,"экспертность, E-A-T","авторитетность автора, доверие к источнику, качество экспертизы",Default KEEP pending pilot-standard drafting.,NO
Яндекс.Вебмастер,Яндекс.Вебмастер,APPROVED,search engines and indexing,HIGH,SIMPLE,NO,standard,яндекс.вебмастер,,сервис для вебмастеров Яндекса,Яндекс.Вебмастер,"панель для сайтов, индексация в Яндексе, отчёты об ошибках","Product name — define as tool/platform, not generic concept abuse.",NO
Яндекс Директ,Яндекс Директ,APPROVED,contextual advertising,HIGH,SIMPLE,NO,standard,яндекс-директ,,Директ,Яндекс.Директ,"контекстная реклама Яндекса, платный трафик, рекламный кабинет","Product name — define as tool/platform, not generic concept abuse.",NO
Яндекс Каталог (YACA),Яндекс Каталог (YACA),EXCLUDED,search engines and indexing,LOW,SIMPLE,NO,not_required,,,YACA,"Яндекс Каталог, YACA","каталог сайтов Яндекса (закрыт), регистрация в каталоге, историческая ссылочная площадка",Historical/obsolete Yandex product; exclude or archive note only.,NO
Яндекс.Метрика,Яндекс.Метрика,APPROVED,analytics and metrics,HIGH,SIMPLE,NO,standard,яндекс.метрика,,счётчик посещаемости,Яндекс.Метрика,"веб-аналитика, отчёты по трафику, вебвизор","Product name — define as tool/platform, not generic concept abuse.",YES
Alt-атрибут,Alt-текст,APPROVED_RENAME,technical SEO,MEDIUM,SIMPLE,NO,standard,alt-текст,,alt-текст,alt-атрибут изображения,"альтернативный текст картинки, доступность для роботов, оптимизация изображений",Prefer alt-текст as user-facing concept.,NO
AMP (ускоренные мобильные страницы),AMP,APPROVED_RENAME,technical SEO,LOW,MODERATE,YES,verified_primary_framing,amp,,ускоренные страницы,AMP-страницы,"ускоренные мобильные страницы, быстрая загрузка на смартфоне",Declining relevance — expert decide KEEP vs EXCLUDE. | Approved with declining-relevance note.,NO
BERT,BERT,APPROVED,content and semantics,MEDIUM,EXPERT,NO,standard,bert,,алгоритм BERT,BERT,"обработка естественного языка, понимание контекста запроса, алгоритм Google",Default KEEP pending pilot-standard drafting.,NO
BM25 (Okapi BM25),BM25,APPROVED_RENAME,search engines and indexing,LOW,EXPERT,YES,verified_primary_framing,bm25,,Okapi BM25,"BM25, Okapi BM25","формула ранжирования по релевантности, алгоритм текстового поиска, вес термина в документе",IR ranking function; expert decide audience fit. | Approved as IR ranking function background.,NO
CatBoost,CatBoost,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,catboost,,алгоритм CatBoost,CatBoost,"алгоритм машинного обучения Яндекса, преемник Матрикснета, градиентный бустинг",Default KEEP pending pilot-standard drafting.,NO
CLS,Core Web Vitals,MERGED,technical SEO,MEDIUM,MODERATE,NO,not_required,,Core Web Vitals,смещение вёрстки,"CLS, Cumulative Layout Shift","смещение макета страницы, визуальная стабильность, удобство чтения",CWV sub-metric; define on Core Web Vitals page.,NO
CMS (система управления сайтом),CMS,APPROVED_RENAME,website development,MEDIUM,SIMPLE,NO,standard,cms,,система управления контентом,CMS,"движок сайта, платформа для контента, WordPress и аналоги",Expand in definition.,NO
Cookie,Cookie,EXCLUDED,website development,LOW,SIMPLE,NO,not_required,,,куки,"cookie, куки","файл для хранения данных пользователя, идентификация посетителя, персональные настройки",General web/privacy concept; not core SEO glossary unless analytics angle insisted.,NO
Core Web Vitals,Core Web Vitals,APPROVED,technical SEO,HIGH,MODERATE,NO,standard,core-web-vitals,,базовые веб-показатели,Core Web Vitals,"LCP, FID, CLS, показатели удобства страницы",Canonical home for LCP/INP/CLS; FID historical.,YES
CPA,CPA,APPROVED,analytics and metrics,MEDIUM,MODERATE,NO,standard,cpa,,цена за действие,"CPA, cost per action","оплата за целевое действие, стоимость привлечения клиента, модель рекламы",Default KEEP pending pilot-standard drafting.,NO
CPC,CPC,APPROVED,analytics and metrics,MEDIUM,MODERATE,NO,standard,cpc,,цена за клик,"CPC, cost per click","цена за клик, стоимость перехода в контекстной рекламе, модель оплаты рекламы",Default KEEP pending pilot-standard drafting.,NO
CPL,CPL,APPROVED,analytics and metrics,MEDIUM,MODERATE,NO,standard,cpl,,цена за лид,"CPL, cost per lead","оплата за лид, стоимость привлечения заявки, эффективность рекламной кампании",Default KEEP pending pilot-standard drafting.,NO
CTR (кликабельность),CTR,APPROVED_RENAME,analytics and metrics,HIGH,SIMPLE,NO,standard,ctr,,кликабельность,CTR сниппета,"доля кликов от показов, привлекательность заголовка, повышение кликабельности",Keep abbreviation; RU кликабельность as synonym.,YES
d-url-rewriter.php (seo-модуль),d-url-rewriter.php (seo-модуль),EXCLUDED,other / review,LOW,SIMPLE,NO,not_required,,,SEO-модуль перезаписи URL,d-url-rewriter.php,"скрипт для SEO-правок, независимость от CMS, обход ограничений движка сайта","Product/module filename, not a general glossary concept.",NO
DA (Domain Authority),Domain Authority,APPROVED_RENAME,link building,MEDIUM,MODERATE,YES,verified_primary_framing,domain-authority,,авторитетность домена,"DA, авторитетность домена","показатель Moz, прогноз ранжирования, оценка домена",Moz proprietary metric — disclose vendor nature. | Approved with Moz proprietary disclosure.,NO
Disavow,Disavow,APPROVED,link building,MEDIUM,MODERATE,NO,standard,disavow,,отклонение ссылок,disavow ссылок,"отклонение токсичных ссылок, файл отклонения, инструмент Google/Яндекса",Default KEEP pending pilot-standard drafting.,NO
DR (Domain Rating),Domain Rating,APPROVED_RENAME,link building,MEDIUM,MODERATE,YES,verified_primary_framing,domain-rating,,рейтинг домена,"DR, рейтинг домена","показатель Ahrefs, ссылочный авторитет, сила домена",Ahrefs proprietary metric — disclose vendor nature. | Approved with Ahrefs proprietary disclosure.,NO
E-E-A-T,E-E-A-T,APPROVED,SEO fundamentals,HIGH,EXPERT,YES,verified_primary_framing,e-e-a-t,,E-A-T,"E-E-A-T, экспертность контента","опыт автора, авторитетность, доверие к сайту",Google quality rater concept — not a direct ranking factor claim. | Approved as Google quality rater concept; not a GSC score.,YES
Event tracking,Event tracking,APPROVED,analytics and metrics,MEDIUM,MODERATE,NO,standard,event-tracking,,трекинг событий,"event tracking, отслеживание событий","клики, скроллы, взаимодействия на сайте, цели в аналитике",Default KEEP pending pilot-standard drafting.,NO
FAQ-разметка,FAQ-разметка,APPROVED_RENAME,technical SEO,MEDIUM,MODERATE,YES,verified_primary_framing,faq-разметка,,разметка вопрос-ответ,"FAQ-разметка, Schema FAQPage","вопросы и ответы в сниппете, расширенный результат поиска, структурированные данные",Structured data subtype; Google FAQ rich-result policy changes — expert verify. | Approved; rich-result eligibility may change — keep policy-cautious.,NO
FID,Core Web Vitals,MERGED,technical SEO,LOW,MODERATE,NO,not_required,,Core Web Vitals,задержка отклика,"FID, First Input Delay","задержка первого взаимодействия, отклик интерфейса, интерактивность страницы",Deprecated CWV metric (replaced by INP); cover historically under Core Web Vitals.,NO
Flash/Флэш,Flash/Флэш,EXCLUDED,website development,LOW,SIMPLE,NO,not_required,,,Adobe Flash,"Flash, Флэш","устаревший формат анимации и видео, векторная графика, плохая индексация поисковиками",Obsolete web technology; not useful for current i-seo.su glossary.,NO
GEO,GEO,APPROVED,AI search and GEO,HIGH,EXPERT,YES,verified_primary_framing,geo,,generative engine optimization,"GEO, генеративная оптимизация","оптимизация под ИИ-поиск, ответы нейросетей, видимость в LLM",Generative Engine Optimization — emerging; distinguish from geo-targeting. | Approved as provisional industry term (Generative Engine Optimization).,YES
GET-параметр (CGI-параметр),GET-параметр,APPROVED_RENAME,technical SEO,MEDIUM,MODERATE,NO,standard,get-параметр,,URL-параметр,"GET-параметр, CGI-параметр","динамический параметр в URL, передача данных через адресную строку, влияние на дубли страниц",CGI outdated framing; focus on query parameters.,NO
Google Ads,Google Ads,APPROVED,contextual advertising,HIGH,SIMPLE,NO,standard,google-ads,,Google AdWords,Google Ads,"контекстная реклама Google, платный трафик, рекламная платформа поисковика","Product name — define as tool/platform, not generic concept abuse.",NO
Google AdSense,Google AdSense,APPROVED,contextual advertising,MEDIUM,MODERATE,NO,standard,google-adsense,,AdSense,Google AdSense,"монетизация сайта рекламой, партнёрская программа Google, рекламные блоки на сайте",Default KEEP pending pilot-standard drafting.,NO
Google Analytics,Google Analytics,APPROVED,analytics and metrics,HIGH,SIMPLE,NO,standard,google-analytics,,GA,Google Analytics,"веб-аналитика Google, отчёты по аудитории, отслеживание конверсий","Product name — define as tool/platform, not generic concept abuse.",NO
Google Search Console,Google Search Console,APPROVED,search engines and indexing,HIGH,SIMPLE,NO,standard,google-search-console,,GSC,Google Search Console,"индексация сайта, отчёт об ошибках, панель вебмастера Google","Product name — define as tool/platform, not generic concept abuse.",YES
HTML,HTML,EXCLUDED,website development,LOW,SIMPLE,NO,not_required,,,Hyper Text Markup Language,"HTML, язык разметки","тег, структура веб-страницы, вёрстка сайта",General web tech; out of SEO glossary scope unless Nikita wants fundamentals layer.,NO
HTTP-код ответа,HTTP-код ответа,APPROVED,technical SEO,MEDIUM,MODERATE,NO,standard,http-код-ответа,,код ответа сервера,HTTP-код ответа сервера,"статус страницы, коды 200/301/404/500, диагностика доступности",Default KEEP pending pilot-standard drafting.,NO
HTTPS,HTTPS,APPROVED,technical SEO,MEDIUM,MODERATE,NO,standard,https,,защищённый протокол,протокол HTTPS,"SSL-сертификат, безопасное соединение, фактор ранжирования",Default KEEP pending pilot-standard drafting.,YES
Human-First Content,Human-First Content,DEFERRED,content and semantics,MEDIUM,MODERATE,YES,not_required,,,"контент, ориентированный на человека","Human-First Content, контент для людей","приоритет пользователя над роботом, естественный стиль, полезность текста",Marketing/SEO framing term — align with Google helpful content guidance; avoid slogan tone. | Positioning slogan vs helpful-content guidance; defer until wording settled.,NO
IP-адрес,IP-адрес,EXCLUDED,security and infrastructure,LOW,SIMPLE,NO,not_required,,,IP,IP-адрес,"сетевой идентификатор сервера, геолокация по IP, уникальный номер устройства в сети",Too generic for SEO glossary.,NO
JS / JavaScript,JS / JavaScript,EXCLUDED,website development,LOW,MODERATE,NO,not_required,,,джаваскрипт,"JavaScript, JS","язык программирования для интерактивности сайта, клиентский скрипт, рендеринг контента",General web tech; JS SEO nuances can live under technical SEO terms.,NO
KPI (ключевые показатели эффективности),KPI,APPROVED_RENAME,analytics and metrics,MEDIUM,SIMPLE,NO,standard,kpi,,ключевые показатели,KPI в SEO,"целевые метрики, оценка результата продвижения, план по трафику",Expand in definition.,NO
LCP,Core Web Vitals,MERGED,technical SEO,MEDIUM,MODERATE,NO,not_required,,Core Web Vitals,время отрисовки крупного элемента,"LCP, Largest Contentful Paint","скорость отрисовки контента, показатель загрузки, Core Web Vitals",CWV sub-metric; define on Core Web Vitals page.,NO
LSI,LSI,APPROVED,content and semantics,HIGH,MODERATE,NO,standard,lsi,,latent semantic indexing,"LSI-фразы, латентно-семантическое индексирование","связанные по смыслу слова, семантическая близость, обогащение текста",Default KEEP pending pilot-standard drafting.,NO
