"negative","level","scope","token_type","decision","replacement","risk","representative_phrases","explanation","status"
"маркировка пива","direction","CORV-C08","phrase","SAFE","","Broad token «маркировка пива» on direction/CORV-C08 — monitored stem","1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница; настройка тс пиот в 1с розница; настройка тс пиот в 1с розница 2.3","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","RESOLVED"
"маркировка воды","direction","CORV-C08","phrase","SAFE","","Broad token «маркировка воды» on direction/CORV-C08 — monitored stem","1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница; настройка тс пиот в 1с розница; настройка тс пиот в 1с розница 2.3","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","RESOLVED"
"лекарства маркировка","direction","CORV-C08","phrase","SAFE","","Broad token «лекарства маркировка» on direction/CORV-C08 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"автозапчасти маркировка","direction","CORV-C08","phrase","SAFE","","Broad token «автозапчасти маркировка» on direction/CORV-C08 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"программист","direction","CORV-C08","stem-like token","SAFE","","Broad token «программист» on direction/CORV-C08 — monitored stem","1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница; настройка тс пиот в 1с розница; настройка тс пиот в 1с розница 2.3","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope.","RESOLVED"
"доработка","direction","CORV-C08","stem-like token","SAFE","","Broad token «доработка» on direction/CORV-C08 — monitored stem","1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница; настройка тс пиот в 1с розница; настройка тс пиот в 1с розница 2.3","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope.","RESOLVED"
"интеграц","group_cross","CORV-G08-01","stem-like token","SAFE","","Broad token «интеграц» on group_cross/CORV-G08-01 — monitored stem","1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница; настройка тс пиот в 1с розница; настройка тс пиот в 1с розница 2.3","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","RESOLVED"
"маркировка","group_cross","CORV-G08-01","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G08-01 — monitored stem","1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница; настройка тс пиот в 1с розница; настройка тс пиот в 1с розница 2.3","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","RESOLVED"
"настрой","group_cross","CORV-G08-02","stem-like token","SAFE","","Broad token «настрой» on group_cross/CORV-G08-02 — monitored stem","1с ут тс пиот; модуль тс пиот 1с; тс пиот 1с атол; тс пиот 1с бухгалтерия; тс пиот 1с касса","SAFE: no literal collision in owner groups; separates setup groups across directions; representative checks pass for 1с ут тс пиот; модуль тс пиот 1с; тс пиот 1с атол.","RESOLVED"
"маркировка","group_cross","CORV-G08-02","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G08-02 — monitored stem","1с ут тс пиот; модуль тс пиот 1с; тс пиот 1с атол; тс пиот 1с бухгалтерия; тс пиот 1с касса","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с ут тс пиот; модуль тс пиот 1с; тс пиот 1с атол.","RESOLVED"
"пиот настрой","group_cross","CORV-G08-02","phrase","SAFE","","Broad token «пиот настрой» on group_cross/CORV-G08-02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с ут тс пиот; модуль тс пиот 1с; тс пиот 1с атол.","RESOLVED"
"вода","group_cross","CORV-G06-05","exact word","SAFE","","Broad token «вода» on group_cross/CORV-G06-05 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с маркировка пива; маркировка пива 1с.","RESOLVED"
"лекарств","group_cross","CORV-G06-05","exact word","SAFE","","Broad token «лекарств» on group_cross/CORV-G06-05 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с маркировка пива; маркировка пива 1с.","RESOLVED"
"косметик","group_cross","CORV-G06-05","exact word","SAFE","","Broad token «косметик» on group_cross/CORV-G06-05 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с маркировка пива; маркировка пива 1с.","RESOLVED"
"автозапчаст","group_cross","CORV-G06-05","exact word","SAFE","","Broad token «автозапчаст» on group_cross/CORV-G06-05 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с маркировка пива; маркировка пива 1с.","RESOLVED"
"масл","group_cross","CORV-G06-05","exact word","SAFE","","Broad token «масл» on group_cross/CORV-G06-05 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с маркировка пива; маркировка пива 1с.","RESOLVED"
"алкогол","group_cross","CORV-G06-05","exact word","SAFE","","Broad token «алкогол» on group_cross/CORV-G06-05 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с маркировка пива; маркировка пива 1с.","RESOLVED"
"пив","group_cross","CORV-G06-06","exact word","SAFE","","Broad token «пив» on group_cross/CORV-G06-06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с маркировка воды; маркировка воды 1с; маркировка воды в 1с.","RESOLVED"
"алкогол","group_cross","CORV-G06-06","exact word","SAFE","","Broad token «алкогол» on group_cross/CORV-G06-06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с маркировка воды; маркировка воды 1с; маркировка воды в 1с.","RESOLVED"
"лекарств","group_cross","CORV-G06-06","exact word","SAFE","","Broad token «лекарств» on group_cross/CORV-G06-06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с маркировка воды; маркировка воды 1с; маркировка воды в 1с.","RESOLVED"
"косметик","group_cross","CORV-G06-06","exact word","SAFE","","Broad token «косметик» on group_cross/CORV-G06-06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с маркировка воды; маркировка воды 1с; маркировка воды в 1с.","RESOLVED"
"автозапчаст","group_cross","CORV-G06-06","exact word","SAFE","","Broad token «автозапчаст» on group_cross/CORV-G06-06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с маркировка воды; маркировка воды 1с; маркировка воды в 1с.","RESOLVED"
"пив","group_cross","CORV-G06-07","exact word","SAFE","","Broad token «пив» on group_cross/CORV-G06-07 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка косметики 1с.","RESOLVED"
"вода","group_cross","CORV-G06-07","exact word","SAFE","","Broad token «вода» on group_cross/CORV-G06-07 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка косметики 1с.","RESOLVED"
"лекарств","group_cross","CORV-G06-07","exact word","SAFE","","Broad token «лекарств» on group_cross/CORV-G06-07 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка косметики 1с.","RESOLVED"
"автозапчаст","group_cross","CORV-G06-07","exact word","SAFE","","Broad token «автозапчаст» on group_cross/CORV-G06-07 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка косметики 1с.","RESOLVED"
"масл","group_cross","CORV-G06-07","exact word","SAFE","","Broad token «масл» on group_cross/CORV-G06-07 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка косметики 1с.","RESOLVED"
"пив","group_cross","CORV-G06-08","exact word","SAFE","","Broad token «пив» on group_cross/CORV-G06-08 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка лекарств; маркировка лекарств 1с; маркировка лекарств аптека.","RESOLVED"
"вода","group_cross","CORV-G06-08","exact word","SAFE","","Broad token «вода» on group_cross/CORV-G06-08 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка лекарств; маркировка лекарств 1с; маркировка лекарств аптека.","RESOLVED"
"косметик","group_cross","CORV-G06-08","exact word","SAFE","","Broad token «косметик» on group_cross/CORV-G06-08 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка лекарств; маркировка лекарств 1с; маркировка лекарств аптека.","RESOLVED"
"автозапчаст","group_cross","CORV-G06-08","exact word","SAFE","","Broad token «автозапчаст» on group_cross/CORV-G06-08 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка лекарств; маркировка лекарств 1с; маркировка лекарств аптека.","RESOLVED"
"подлежит","group_cross","CORV-G06-08","exact word","SAFE","","Broad token «подлежит» on group_cross/CORV-G06-08 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка лекарств; маркировка лекарств 1с; маркировка лекарств аптека.","RESOLVED"
"сроки","group_cross","CORV-G06-08","exact word","SAFE","","Broad token «сроки» on group_cross/CORV-G06-08 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка лекарств; маркировка лекарств 1с; маркировка лекарств аптека.","RESOLVED"
"как настроить","group_cross","CORV-G06-08","phrase","SAFE","","Broad token «как настроить» on group_cross/CORV-G06-08 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка лекарств; маркировка лекарств 1с; маркировка лекарств аптека.","RESOLVED"
"пив","group_cross","CORV-G06-09","exact word","SAFE","","Broad token «пив» on group_cross/CORV-G06-09 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка бытовой химии 1с.","RESOLVED"
"вода","group_cross","CORV-G06-09","exact word","SAFE","","Broad token «вода» on group_cross/CORV-G06-09 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка бытовой химии 1с.","RESOLVED"
"лекарств","group_cross","CORV-G06-09","exact word","SAFE","","Broad token «лекарств» on group_cross/CORV-G06-09 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка бытовой химии 1с.","RESOLVED"
"косметик","group_cross","CORV-G06-09","exact word","SAFE","","Broad token «косметик» on group_cross/CORV-G06-09 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка бытовой химии 1с.","RESOLVED"
"лекарств","group_cross","CORV-G06-10","exact word","SAFE","","Broad token «лекарств» on group_cross/CORV-G06-10 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for автозапчасти маркировка честный знак; маркировка автозапчастей; маркировка автозапчастей 1с.","RESOLVED"
"пив","group_cross","CORV-G06-10","exact word","SAFE","","Broad token «пив» on group_cross/CORV-G06-10 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for автозапчасти маркировка честный знак; маркировка автозапчастей; маркировка автозапчастей 1с.","RESOLVED"
"вода","group_cross","CORV-G06-10","exact word","SAFE","","Broad token «вода» on group_cross/CORV-G06-10 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for автозапчасти маркировка честный знак; маркировка автозапчастей; маркировка автозапчастей 1с.","RESOLVED"
"косметик","group_cross","CORV-G06-10","exact word","SAFE","","Broad token «косметик» on group_cross/CORV-G06-10 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for автозапчасти маркировка честный знак; маркировка автозапчастей; маркировка автозапчастей 1с.","RESOLVED"
"подлежит","group_cross","CORV-G06-10","exact word","SAFE","","Broad token «подлежит» on group_cross/CORV-G06-10 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for автозапчасти маркировка честный знак; маркировка автозапчастей; маркировка автозапчастей 1с.","RESOLVED"
"сроки","group_cross","CORV-G06-10","exact word","SAFE","","Broad token «сроки» on group_cross/CORV-G06-10 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for автозапчасти маркировка честный знак; маркировка автозапчастей; маркировка автозапчастей 1с.","RESOLVED"
"какие","group_cross","CORV-G06-10","exact word","SAFE","","Broad token «какие» on group_cross/CORV-G06-10 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for автозапчасти маркировка честный знак; маркировка автозапчастей; маркировка автозапчастей 1с.","RESOLVED"
"пив","group_cross","CORV-G06-11","exact word","SAFE","","Broad token «пив» on group_cross/CORV-G06-11 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for в 1с маркировка моторные масла; маркировка масел 1с.","RESOLVED"
"вода","group_cross","CORV-G06-11","exact word","SAFE","","Broad token «вода» on group_cross/CORV-G06-11 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for в 1с маркировка моторные масла; маркировка масел 1с.","RESOLVED"
"лекарств","group_cross","CORV-G06-11","exact word","SAFE","","Broad token «лекарств» on group_cross/CORV-G06-11 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for в 1с маркировка моторные масла; маркировка масел 1с.","RESOLVED"
"автозапчаст","group_cross","CORV-G06-11","exact word","SAFE","","Broad token «автозапчаст» on group_cross/CORV-G06-11 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for в 1с маркировка моторные масла; маркировка масел 1с.","RESOLVED"
"пив","group_cross","CORV-G06-12","exact word","SAFE","","Broad token «пив» on group_cross/CORV-G06-12 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка техники 1с.","RESOLVED"
"вода","group_cross","CORV-G06-12","exact word","SAFE","","Broad token «вода» on group_cross/CORV-G06-12 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка техники 1с.","RESOLVED"
"лекарств","group_cross","CORV-G06-12","exact word","SAFE","","Broad token «лекарств» on group_cross/CORV-G06-12 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка техники 1с.","RESOLVED"
"косметик","group_cross","CORV-G06-12","exact word","SAFE","","Broad token «косметик» on group_cross/CORV-G06-12 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка техники 1с.","RESOLVED"
"пив","group_cross","CORV-G06-13","exact word","SAFE","","Broad token «пив» on group_cross/CORV-G06-13 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка строительных материалов 1с.","RESOLVED"
"вода","group_cross","CORV-G06-13","exact word","SAFE","","Broad token «вода» on group_cross/CORV-G06-13 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка строительных материалов 1с.","RESOLVED"
"лекарств","group_cross","CORV-G06-13","exact word","SAFE","","Broad token «лекарств» on group_cross/CORV-G06-13 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка строительных материалов 1с.","RESOLVED"
"косметик","group_cross","CORV-G06-13","exact word","SAFE","","Broad token «косметик» on group_cross/CORV-G06-13 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка строительных материалов 1с.","RESOLVED"
"доработка","group_cross","CORV-G06-03","stem-like token","SAFE","","Broad token «доработка» on group_cross/CORV-G06-03 — monitored stem","1с 8.3 честный знак; 1с бухгалтерия честный знак; 1с номенклатура честный знак; 1с торговля честный знак; 1с унф честный знак","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for 1с 8.3 честный знак; 1с бухгалтерия честный знак; 1с номенклатура честный знак.","RESOLVED"
"программист","group_cross","CORV-G06-03","stem-like token","SAFE","","Broad token «программист» on group_cross/CORV-G06-03 — monitored stem","1с 8.3 честный знак; 1с бухгалтерия честный знак; 1с номенклатура честный знак; 1с торговля честный знак; 1с унф честный знак","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for 1с 8.3 честный знак; 1с бухгалтерия честный знак; 1с номенклатура честный знак.","RESOLVED"
"отчет","group_cross","CORV-G06-03","exact word","SAFE","","Broad token «отчет» on group_cross/CORV-G06-03 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с 8.3 честный знак; 1с бухгалтерия честный знак; 1с номенклатура честный знак.","RESOLVED"
"пив","group_cross","CORV-G06-03","exact word","SAFE","","Broad token «пив» on group_cross/CORV-G06-03 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с 8.3 честный знак; 1с бухгалтерия честный знак; 1с номенклатура честный знак.","RESOLVED"
"вода","group_cross","CORV-G06-03","exact word","SAFE","","Broad token «вода» on group_cross/CORV-G06-03 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с 8.3 честный знак; 1с бухгалтерия честный знак; 1с номенклатура честный знак.","RESOLVED"
"подключ","group_cross","CORV-G06-03","exact word","SAFE","","Broad token «подключ» on group_cross/CORV-G06-03 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с 8.3 честный знак; 1с бухгалтерия честный знак; 1с номенклатура честный знак.","RESOLVED"
"подключ","group_cross","CORV-G06-04","exact word","SAFE","","Broad token «подключ» on group_cross/CORV-G06-04 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for ошибка маркировки 1с.","RESOLVED"
"настрой","group_cross","CORV-G06-04","stem-like token","SAFE","","Broad token «настрой» on group_cross/CORV-G06-04 — monitored stem","ошибка маркировки 1с","SAFE: no literal collision in owner groups; separates setup groups across directions; representative checks pass for ошибка маркировки 1с.","RESOLVED"
"пив","group_cross","CORV-G06-04","exact word","SAFE","","Broad token «пив» on group_cross/CORV-G06-04 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for ошибка маркировки 1с.","RESOLVED"
"вода","group_cross","CORV-G06-04","exact word","SAFE","","Broad token «вода» on group_cross/CORV-G06-04 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for ошибка маркировки 1с.","RESOLVED"
"лекарств","group_cross","CORV-G06-04","exact word","SAFE","","Broad token «лекарств» on group_cross/CORV-G06-04 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for ошибка маркировки 1с.","RESOLVED"
"честный знак","group_cross","CORV-G06-01","phrase","SAFE","","Broad token «честный знак» on group_cross/CORV-G06-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с маркировка в производстве; 1с маркировка ввод в оборот; внедрение маркировки в 1с.","RESOLVED"
"пив","group_cross","CORV-G06-01","exact word","SAFE","","Broad token «пив» on group_cross/CORV-G06-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с маркировка в производстве; 1с маркировка ввод в оборот; внедрение маркировки в 1с.","RESOLVED"
"вода","group_cross","CORV-G06-01","exact word","SAFE","","Broad token «вода» on group_cross/CORV-G06-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с маркировка в производстве; 1с маркировка ввод в оборот; внедрение маркировки в 1с.","RESOLVED"
"лекарств","group_cross","CORV-G06-01","exact word","SAFE","","Broad token «лекарств» on group_cross/CORV-G06-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с маркировка в производстве; 1с маркировка ввод в оборот; внедрение маркировки в 1с.","RESOLVED"
"косметик","group_cross","CORV-G06-01","exact word","SAFE","","Broad token «косметик» on group_cross/CORV-G06-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с маркировка в производстве; 1с маркировка ввод в оборот; внедрение маркировки в 1с.","RESOLVED"
"автозапчаст","group_cross","CORV-G06-01","exact word","SAFE","","Broad token «автозапчаст» on group_cross/CORV-G06-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с маркировка в производстве; 1с маркировка ввод в оборот; внедрение маркировки в 1с.","RESOLVED"
"ошибк","group_cross","CORV-G06-01","stem-like token","SAFE","","Broad token «ошибк» on group_cross/CORV-G06-01 — monitored stem","1с маркировка в производстве; 1с маркировка ввод в оборот; внедрение маркировки в 1с; маркировка в 1с; настроить маркировку в 1с","SAFE: no literal collision in owner groups; separates troubleshooting CORV-C07; representative checks pass for 1с маркировка в производстве; 1с маркировка ввод в оборот; внедрение маркировки в 1с.","RESOLVED"
"честный знак","group_cross","CORV-G06-02","phrase","SAFE","","Broad token «честный знак» on group_cross/CORV-G06-02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка в 1с розница настройка номенклатуры; маркировка моторных масел в 1с розница настройка; настройка маркировки 1с.","RESOLVED"
"пив","group_cross","CORV-G06-02","exact word","SAFE","","Broad token «пив» on group_cross/CORV-G06-02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка в 1с розница настройка номенклатуры; маркировка моторных масел в 1с розница настройка; настройка маркировки 1с.","RESOLVED"
"вода","group_cross","CORV-G06-02","exact word","SAFE","","Broad token «вода» on group_cross/CORV-G06-02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка в 1с розница настройка номенклатуры; маркировка моторных масел в 1с розница настройка; настройка маркировки 1с.","RESOLVED"
"лекарств","group_cross","CORV-G06-02","exact word","SAFE","","Broad token «лекарств» on group_cross/CORV-G06-02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка в 1с розница настройка номенклатуры; маркировка моторных масел в 1с розница настройка; настройка маркировки 1с.","RESOLVED"
"подключ","group_cross","CORV-G06-02","exact word","SAFE","","Broad token «подключ» on group_cross/CORV-G06-02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for маркировка в 1с розница настройка номенклатуры; маркировка моторных масел в 1с розница настройка; настройка маркировки 1с.","RESOLVED"
"ошибка после обновления","group_cross","CORV-G07-03","phrase","SAFE","","Broad token «ошибка после обновления» on group_cross/CORV-G07-03 — monitored stem","не работает синхронизация 1с; не работает синхронизация 1с 8.3; после обновления 1с не работает синхронизация; почему не работает синхронизация в 1с","SAFE: no literal collision in owner groups; separates troubleshooting CORV-C07; representative checks pass for не работает синхронизация 1с; не работает синхронизация 1с 8.3; после обновления 1с не работает синхронизация.","RESOLVED"
"восстановлен","group_cross","CORV-G07-03","exact word","SAFE","","Broad token «восстановлен» on group_cross/CORV-G07-03 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for не работает синхронизация 1с; не работает синхронизация 1с 8.3; после обновления 1с не работает синхронизация.","RESOLVED"
"запуска","group_cross","CORV-G07-03","exact word","SAFE","","Broad token «запуска» on group_cross/CORV-G07-03 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for не работает синхронизация 1с; не работает синхронизация 1с 8.3; после обновления 1с не работает синхронизация.","RESOLVED"
"не работает","group_cross","CORV-G07-02","phrase","REMOVE","","Exchange-failure group must not minus core symptom «не работает»","не работает синхронизация 1с; не работает синхронизация 1с 8.3; после обновления 1с не работает синхронизация; почему не работает синхронизация в 1с","Regression REG-02: Exchange-failure group must not minus core symptom «не работает»","RESOLVED"
"обмен","group_cross","CORV-G07-02","stem-like token","SAFE","","Broad token «обмен» on group_cross/CORV-G07-02 — monitored stem","1с ошибка печатная форма недоступна; ошибка 1с; ошибка 1с после обновления; ошибки программиста 1с","SAFE: no literal collision in owner groups; separates exchange groups CORV-G05-04/05; representative checks pass for 1с ошибка печатная форма недоступна; ошибка 1с; ошибка 1с после обновления.","RESOLVED"
"синхронизация","group_cross","CORV-G07-02","stem-like token","REMOVE","","Cash-register sync group must not minus stem «синхрон»","1с касса синхронизация розница; 1с касса синхронизация с бухгалтерией; 1с мобильная касса настройка синхронизации; 1с мобильная касса синхронизация; 1с мобильная касса синхронизация с 1с бухгалтерия","Regression REG-04: Cash-register sync group must not minus stem «синхрон»","RESOLVED"
"восстановлен","group_cross","CORV-G07-02","exact word","SAFE","","Broad token «восстановлен» on group_cross/CORV-G07-02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с ошибка печатная форма недоступна; ошибка 1с; ошибка 1с после обновления.","RESOLVED"
"не работает","group_cross","CORV-G07-04","phrase","REMOVE","","Exchange-failure group must not minus core symptom «не работает»","не работает синхронизация 1с; не работает синхронизация 1с 8.3; после обновления 1с не работает синхронизация; почему не работает синхронизация в 1с","Regression REG-02: Exchange-failure group must not minus core symptom «не работает»","RESOLVED"
"обмен","group_cross","CORV-G07-04","stem-like token","SAFE","","Broad token «обмен» on group_cross/CORV-G07-04 — monitored stem","восстановление работы 1с","SAFE: no literal collision in owner groups; separates exchange groups CORV-G05-04/05; representative checks pass for восстановление работы 1с.","RESOLVED"
"ошибка","group_cross","CORV-G07-04","stem-like token","SAFE","","Broad token «ошибка» on group_cross/CORV-G07-04 — monitored stem","восстановление работы 1с","SAFE: no literal collision in owner groups; separates troubleshooting CORV-C07; representative checks pass for восстановление работы 1с.","RESOLVED"
"синхронизация","group_cross","CORV-G07-04","stem-like token","REMOVE","","Cash-register sync group must not minus stem «синхрон»","1с касса синхронизация розница; 1с касса синхронизация с бухгалтерией; 1с мобильная касса настройка синхронизации; 1с мобильная касса синхронизация; 1с мобильная касса синхронизация с 1с бухгалтерия","Regression REG-04: Cash-register sync group must not minus stem «синхрон»","RESOLVED"
"ошибка","group_cross","CORV-G07-01","stem-like token","SAFE","","Broad token «ошибка» on group_cross/CORV-G07-01 — monitored stem","1с не работает; почему не работает программа 1с; программа 1с не работает; срочно программист 1с","SAFE: no literal collision in owner groups; separates troubleshooting CORV-C07; representative checks pass for 1с не работает; почему не работает программа 1с; программа 1с не работает.","RESOLVED"
"обмен","group_cross","CORV-G07-01","stem-like token","SAFE","","Broad token «обмен» on group_cross/CORV-G07-01 — monitored stem","1с не работает; почему не работает программа 1с; программа 1с не работает; срочно программист 1с","SAFE: no literal collision in owner groups; separates exchange groups CORV-G05-04/05; representative checks pass for 1с не работает; почему не работает программа 1с; программа 1с не работает.","RESOLVED"
"синхронизация","group_cross","CORV-G07-01","stem-like token","REMOVE","","Cash-register sync group must not minus stem «синхрон»","1с касса синхронизация розница; 1с касса синхронизация с бухгалтерией; 1с мобильная касса настройка синхронизации; 1с мобильная касса синхронизация; 1с мобильная касса синхронизация с 1с бухгалтерия","Regression REG-04: Cash-register sync group must not minus stem «синхрон»","RESOLVED"
"восстановлен","group_cross","CORV-G07-01","exact word","SAFE","","Broad token «восстановлен» on group_cross/CORV-G07-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с не работает; почему не работает программа 1с; программа 1с не работает.","RESOLVED"
"после обновлен","group_cross","CORV-G07-01","phrase","SAFE","","Broad token «после обновлен» on group_cross/CORV-G07-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с не работает; почему не работает программа 1с; программа 1с не работает.","RESOLVED"
"касса","group_cross","CORV-G05-02","exact word","SAFE","","Broad token «касса» on group_cross/CORV-G05-02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с битрикс документооборот интеграция; 1с унф битрикс интеграция; битрикс 24 модуль интеграции с 1с.","RESOLVED"
